pre_matricula_id,inscrito_id,lead_id,data_pre_matricula,etapa
1,1,1,18/02/2026,Pre_Matricula
2,2,2,31/01/2026,Pre_Matricula
3,3,3,24/03/2026,Pre_Matricula
4,4,4,10/02/2026,Pre_Matricula
5,5,5,24/03/2026,Pre_Matricula
6,6,6,27/04/2026,Pre_Matricula
7,7,7,29/04/2026,Pre_Matricula
8,8,8,01/03/2026,Pre_Matricula
9,9,9,07/04/2026,Pre_Matricula
10,10,10,05/05/2026,Pre_Matricula
11,11,11,21/03/2026,Pre_Matricula
12,12,12,22/02/2026,Pre_Matricula
13,13,13,01/03/2026,Pre_Matricula
14,14,14,17/04/2026,Pre_Matricula
15,15,15,15/04/2026,Pre_Matricula
16,16,16,28/01/2026,Pre_Matricula
17,17,17,22/04/2026,Pre_Matricula
18,18,18,09/04/2026,Pre_Matricula
19,19,19,13/04/2026,Pre_Matricula
20,20,20,21/01/2026,Pre_Matricula
21,21,21,16/03/2026,Pre_Matricula
22,22,22,16/04/2026,Pre_Matricula
23,23,23,24/02/2026,Pre_Matricula
24,24,24,17/01/2026,Pre_Matricula
25,25,25,23/01/2026,Pre_Matricula
26,26,26,07/03/2026,Pre_Matricula
27,27,27,09/02/2026,Pre_Matricula
28,28,28,28/04/2026,Pre_Matricula
29,29,29,20/01/2026,Pre_Matricula
30,30,30,23/02/2026,Pre_Matricula
31,31,31,29/03/2026,Pre_Matricula
32,32,32,19/04/2026,Pre_Matricula
33,33,33,30/03/2026,Pre_Matricula
34,34,34,28/03/2026,Pre_Matricula
35,35,35,02/03/2026,Pre_Matricula
36,36,36,20/04/2026,Pre_Matricula
37,37,37,21/02/2026,Pre_Matricula
38,38,38,14/01/2026,Pre_Matricula
39,39,39,02/04/2026,Pre_Matricula
40,40,40,14/02/2026,Pre_Matricula
41,41,41,21/04/2026,Pre_Matricula
42,42,42,09/03/2026,Pre_Matricula
43,43,43,14/03/2026,Pre_Matricula
44,44,44,09/02/2026,Pre_Matricula
45,45,45,25/02/2026,Pre_Matricula
46,46,46,22/03/2026,Pre_Matricula
47,47,47,11/05/2026,Pre_Matricula
48,48,48,28/02/2026,Pre_Matricula
49,49,49,07/03/2026,Pre_Matricula
50,50,50,03/02/2026,Pre_Matricula
51,51,51,08/04/2026,Pre_Matricula
52,52,52,26/03/2026,Pre_Matricula
53,53,53,05/04/2026,Pre_Matricula
54,54,54,28/02/2026,Pre_Matricula
55,55,55,21/01/2026,Pre_Matricula
56,56,56,19/04/2026,Pre_Matricula
57,57,57,31/03/2026,Pre_Matricula
58,58,58,17/02/2026,Pre_Matricula
59,59,59,23/04/2026,Pre_Matricula
60,60,60,11/02/2026,Pre_Matricula
61,61,61,12/04/2026,Pre_Matricula
62,62,62,20/01/2026,Pre_Matricula
63,63,63,21/01/2026,Pre_Matricula
64,64,64,14/02/2026,Pre_Matricula
65,65,65,30/01/2026,Pre_Matricula
66,66,66,28/02/2026,Pre_Matricula
67,67,67,12/04/2026,Pre_Matricula
68,68,68,21/04/2026,Pre_Matricula
69,69,69,02/04/2026,Pre_Matricula
70,70,70,30/01/2026,Pre_Matricula
71,71,71,15/04/2026,Pre_Matricula
72,72,72,01/03/2026,Pre_Matricula
73,73,73,20/02/2026,Pre_Matricula
74,74,74,26/02/2026,Pre_Matricula
75,75,75,24/01/2026,Pre_Matricula
76,76,76,22/01/2026,Pre_Matricula
77,77,77,11/01/2026,Pre_Matricula
78,78,78,11/05/2026,Pre_Matricula
79,79,79,19/02/2026,Pre_Matricula
80,80,80,08/03/2026,Pre_Matricula
81,81,81,26/02/2026,Pre_Matricula
82,82,82,18/04/2026,Pre_Matricula
83,83,83,14/02/2026,Pre_Matricula
84,84,84,24/01/2026,Pre_Matricula
85,85,85,27/01/2026,Pre_Matricula
86,86,86,22/01/2026,Pre_Matricula
87,87,87,03/02/2026,Pre_Matricula
88,88,88,07/03/2026,Pre_Matricula
89,89,89,09/03/2026,Pre_Matricula
90,90,90,23/03/2026,Pre_Matricula
91,91,91,23/03/2026,Pre_Matricula
92,92,92,17/03/2026,Pre_Matricula
93,93,93,04/03/2026,Pre_Matricula
94,94,94,24/01/2026,Pre_Matricula
95,95,95,14/01/2026,Pre_Matricula
96,96,96,22/01/2026,Pre_Matricula
97,97,97,25/02/2026,Pre_Matricula
98,98,98,22/03/2026,Pre_Matricula
99,99,99,22/01/2026,Pre_Matricula
100,100,100,28/03/2026,Pre_Matricula
101,101,101,28/03/2026,Pre_Matricula
102,102,102,21/04/2026,Pre_Matricula
103,103,103,21/02/2026,Pre_Matricula
104,104,104,01/05/2026,Pre_Matricula
105,105,105,01/03/2026,Pre_Matricula
106,106,106,12/01/2026,Pre_Matricula
107,107,107,17/02/2026,Pre_Matricula
108,108,108,04/03/2026,Pre_Matricula
109,109,109,01/03/2026,Pre_Matricula
110,110,110,20/04/2026,Pre_Matricula
111,111,111,21/01/2026,Pre_Matricula
112,112,112,13/04/2026,Pre_Matricula
113,113,113,06/05/2026,Pre_Matricula
114,114,114,23/03/2026,Pre_Matricula
115,115,115,06/05/2026,Pre_Matricula
116,116,116,11/02/2026,Pre_Matricula
117,117,117,25/03/2026,Pre_Matricula
118,118,118,18/03/2026,Pre_Matricula
119,119,119,01/02/2026,Pre_Matricula
120,120,120,08/04/2026,Pre_Matricula
121,121,121,28/02/2026,Pre_Matricula
122,122,122,01/02/2026,Pre_Matricula
123,123,123,28/01/2026,Pre_Matricula
124,124,124,14/02/2026,Pre_Matricula
125,125,125,18/02/2026,Pre_Matricula
126,126,126,14/02/2026,Pre_Matricula
127,127,127,15/03/2026,Pre_Matricula
128,128,128,29/01/2026,Pre_Matricula
129,129,129,19/01/2026,Pre_Matricula
130,130,130,01/02/2026,Pre_Matricula
131,131,131,07/03/2026,Pre_Matricula
132,132,132,15/02/2026,Pre_Matricula
133,133,133,05/03/2026,Pre_Matricula
134,134,134,18/02/2026,Pre_Matricula
135,135,135,13/03/2026,Pre_Matricula
136,136,136,21/04/2026,Pre_Matricula
137,137,137,20/01/2026,Pre_Matricula
138,138,138,26/02/2026,Pre_Matricula
139,139,139,12/02/2026,Pre_Matricula
140,140,140,11/05/2026,Pre_Matricula
141,141,141,11/02/2026,Pre_Matricula
142,142,142,13/04/2026,Pre_Matricula
143,143,143,01/04/2026,Pre_Matricula
144,144,144,15/03/2026,Pre_Matricula
145,145,145,28/03/2026,Pre_Matricula
146,146,146,30/03/2026,Pre_Matricula
147,147,147,05/02/2026,Pre_Matricula
148,148,148,10/03/2026,Pre_Matricula
149,149,149,24/01/2026,Pre_Matricula
150,150,150,28/01/2026,Pre_Matricula
151,151,151,18/02/2026,Pre_Matricula
152,152,152,11/01/2026,Pre_Matricula
153,153,153,02/03/2026,Pre_Matricula
154,154,154,22/02/2026,Pre_Matricula
155,155,155,28/04/2026,Pre_Matricula
156,156,156,31/03/2026,Pre_Matricula
157,157,157,28/02/2026,Pre_Matricula
158,158,158,23/04/2026,Pre_Matricula
159,159,159,01/05/2026,Pre_Matricula
160,160,160,22/02/2026,Pre_Matricula
161,161,161,08/03/2026,Pre_Matricula
162,162,162,22/02/2026,Pre_Matricula
163,163,163,07/03/2026,Pre_Matricula
164,164,164,25/04/2026,Pre_Matricula
165,165,165,26/04/2026,Pre_Matricula
166,166,166,01/05/2026,Pre_Matricula
167,167,167,04/04/2026,Pre_Matricula
168,168,168,28/03/2026,Pre_Matricula
169,169,169,28/01/2026,Pre_Matricula
170,170,170,18/02/2026,Pre_Matricula
171,171,171,21/02/2026,Pre_Matricula
172,172,172,29/03/2026,Pre_Matricula
