matricula_id,pre_matricula_id,inscrito_id,lead_id,data_matricula,valor_matricula,etapa
1,1,1,1,2026-03-09,3656,Matricula
2,2,2,2,2026-03-20,1470,Matricula
3,3,3,3,2026-04-07,2140,Matricula
4,4,4,4,2026-02-15,1934,Matricula
5,5,5,5,2026-04-10,1531,Matricula
6,6,6,6,2026-04-17,2633,Matricula
7,7,7,7,2026-04-27,2444,Matricula
8,8,8,8,2026-01-25,2739,Matricula
9,9,9,9,2026-04-02,2862,Matricula
10,10,10,10,2026-03-31,2541,Matricula
11,11,11,11,2026-03-25,2975,Matricula
12,12,12,12,2026-05-14,3733,Matricula
13,13,13,13,2026-03-10,3126,Matricula
14,14,14,14,2026-01-20,4138,Matricula
15,15,15,15,2026-05-19,2372,Matricula
16,16,16,16,2026-04-15,3099,Matricula
17,17,17,17,2026-04-02,3513,Matricula
18,18,18,18,2026-05-13,1248,Matricula
19,19,19,19,2026-01-29,4049,Matricula
20,20,20,20,2026-02-16,3593,Matricula
21,21,21,21,2026-04-11,2354,Matricula
22,22,22,22,2026-02-06,3550,Matricula
23,23,23,23,2026-04-04,1081,Matricula
24,24,24,24,2026-03-29,3542,Matricula
25,25,25,25,2026-04-12,3549,Matricula
26,26,26,26,2026-03-08,3982,Matricula
27,27,27,27,2026-02-27,4161,Matricula
28,28,28,28,2026-03-12,1333,Matricula
29,29,29,29,2026-01-17,1303,Matricula
30,30,30,30,2026-02-18,1809,Matricula
31,31,31,31,2026-03-22,3959,Matricula
32,32,32,32,2026-03-23,3185,Matricula
33,33,33,33,2026-03-31,3716,Matricula
34,34,34,34,2026-03-30,1805,Matricula
35,35,35,35,2026-03-14,2432,Matricula
36,36,36,36,2026-03-07,2796,Matricula
37,37,37,37,2026-04-24,3683,Matricula
38,38,38,38,2026-04-01,3728,Matricula
39,39,39,39,2026-03-21,1517,Matricula
40,40,40,40,2026-03-01,1000,Matricula
41,41,41,41,2026-03-18,1328,Matricula
42,42,42,42,2026-02-22,2603,Matricula
43,43,43,43,2026-05-13,1251,Matricula
44,44,44,44,2026-01-30,3890,Matricula
45,45,45,45,2026-02-03,2326,Matricula
46,46,46,46,2026-02-24,2305,Matricula
47,47,47,47,2026-03-15,4112,Matricula
48,48,48,48,2026-02-11,3034,Matricula
49,49,49,49,2026-03-18,2326,Matricula
50,50,50,50,2026-03-17,1299,Matricula
51,51,51,51,2026-03-13,3857,Matricula
52,52,52,52,2026-04-15,2753,Matricula
53,53,53,53,2026-02-25,1175,Matricula
